state_l,state_s,city,metro,rank,workers,industry,url,website,id,leadership,founded,company
North Carolina,NC,Charlotte,Charlotte,3626,72,Education,little-otter-swim-school,littleotterswim.com,77461,John Kirk,2005-01-01,Little Otter Swim School
Texas,TX,Arlington,Dallas,3627,492,Health,sundance-behavioral-healthcare,rehab.sundance.com,23429,Scott Miller,2010-01-01,Sundance Behavioral Healthcare
New York,NY,Buffalo,"Buffalo-Cheektowaga-Niagara Falls, NY",3628,22,IT Services,colocrossing,colocrossing.com,25875,Jon Biloh,2003-01-01,ColoCrossing
New York,NY,Warwick,New York City,3629,43,Software,geekhive,geekhive.com,44199,Peter Ladka,1997-01-01,GeekHive
Pennsylvania,PA,Hanover,"York-Hanover, PA",3630,500,Manufacturing,mcclarin-plastics,mcclarinplastics.com,5738,Jerry Armstrong,1953-01-01,McClarin Plastics
Nebraska,NE,Lincoln,"Lincoln, NE",3631,19,Financial Services,sp-group-pc,spgrouppc.com,77466,David Swan,2003-01-01,SP Group P.C.
Georgia,GA,Newnan,Atlanta,3632,55,Construction,nickell-equipment-rental-sales,nickellrental.com,38296,Thomas Nickell,1998-01-01,Nickell Equipment Rental & Sales
Nevada,NV,Reno,"Reno, NV",3633,42,Advertising & Marketing,noble-studios,noblestudios.com,23771,Jarrod Lopiccolo,2003-01-01,Noble Studios
Massachusetts,MA,Boston,Boston,3634,34,Construction,pinck-co,pinck-co.com,44286,Jennifer Pinck,1998-01-01,Pinck & Co.
Pennsylvania,PA,Philadelphia,Philadelphia,3635,28,Advertising & Marketing,trinity-insight,trinityinsight.com,25813,Craig Smith,2006-01-01,Trinity Insight
New Jersey,NJ,Edison,New York City,3636,155,IT Services,sbs-group,sbsgroupusa.com,6655,James Bowman,1986-01-01,SBS Group
New Jersey,NJ,Burlington,Philadelphia,3637,55,Manufacturing,modern-store-equipment,modernstoreonline.com,44485,David Dunigan,1958-01-01,Modern Store Equipment
Minnesota,MN,Minneapolis,Minneapolis,3638,177,Construction,lvc-companies,lvcinc.com,24532,Robert Hoertsch,1982-01-01,LVC Companies
Missouri,MO,Kansas City,"Kansas City, MO-KS",3639,24,Manufacturing,trippnt,trippnt.com,26271,Susan Tripp,1993-01-01,TrippNT
Alabama,AL,Birmingham,"Birmingham-Hoover, AL",3640,103,Human Resources,employment-screening-services,es2.com,3455,Sheila Benson,1994-01-01,Employment Screening Services
California,CA,Gardena,Los Angeles,3641,22,Logistics & Transportation,mayor-logistics,mayorusa.com,19852,Michael Mayor,2004-01-01,Mayor Logistics
Pennsylvania,PA,Boothwyn,Philadelphia,3642,47,Security,kinetix,kinetixfire.com,38237,Nicholas Plante,1993-01-01,Kinetix
North Carolina,NC,Greensboro,"Greensboro-High Point, NC",3643,114,IT Services,canopy-partners,canopy-partners.com,38030,Worth Saunders,2011-01-01,Canopy Partners
California,CA,Gold River,"Sacramento, CA",3644,77,Software,redtail-technology,redtailtechnology.com,23961,Brian Mclaughlin,2003-01-01,Redtail Technology
South Carolina,SC,Spartanburg,"Spartanburg, SC",3645,107,Travel & Hospitality,oto-development,otodevelopment.com,21413,Corry Oakes,2004-01-01,OTO Development
Tennessee,TN,Jackson,"Jackson, TN",3646,10,Business Products & Services,master-medical-equipment,masterfitmedical.com,77471,Mark Taylor,2011-01-01,Master Medical Equipment
California,CA,Newport Beach,Los Angeles,3647,587,Financial Services,united-capital,unitedcp.com,24012,Joe Duran,2005-01-01,United Capital
Alabama,AL,Montgomery,"Montgomery, AL",3648,27,Media,bell-media,http://gobellmedia.com,26082,Scott Bell,2008-01-01,Bell Media
Pennsylvania,PA,Pittsburgh,"Pittsburgh, PA",3649,459,Logistics & Transportation,armada,armada.net,77476,John Burke,1890-01-01,ARMADA
Illinois,IL,Deerfield,Chicago,3650,32,Health,veritas-health,veritashealth.com,24306,Stephanie Burke,1999-01-01,Veritas Health
Kentucky,KY,Louisville,"Louisville/Jefferson County, KY-IN",3651,35,Environmental Services,hughes-environmental,hughesenv.com,38287,Craig Rutledge,2005-01-01,Hughes Environmental
Florida,FL,Sanford,"Orlando, FL",3652,460,Business Products & Services,total-marketing-concepts,thetmcteam.com,20013,Andrew Dorko,2004-01-01,Total Marketing Concepts
Michigan,MI,Bloomfield Twp,Detroit,3653,35,Consumer Products & Services,pristine-pools,pristinepoolsinc.com,77481,Stacy Ragland,2006-01-01,Pristine Pools
Arizona,AZ,Gilbert,Phoenix,3654,20,IT Services,stretch-internet,stretchinternet.com,77486,Ryan Ermeling,2003-01-01,Stretch Internet
New Jersey,NJ,Franklin Lakes,New York City,3655,20,Insurance,axis-management-group-holdings,axisins.com,77491,Mike Smith,1999-01-01,Axis Management Group Holdings
Virginia,VA,McLean,"Washington, DC",3656,63,IT Services,peridot-solutions,peridotsolutions.com,77496,Rana Chegu,2007-01-01,Peridot Solutions
North Carolina,NC,Cary,"Raleigh, NC",3657,13,IT Services,technology-associates,technologyassociates.net,22794,Eric Hobbs,1997-01-01,Technology Associates
Arizona,AZ,Scottsdale,Phoenix,3658,48,Construction,cullum-homes,cullumhomes.com,26018,Rod Cullum,1985-01-01,Cullum Homes
